MATHEMATICAL PATTERN COLLECTION - MARKET DATA
Analyst: fedfraud
Generated: 2025-07-04 12:36:10 UTC
================================================================================


================================================================================
LIQUIDATIONS
================================================================================

COIN|EXCHANGE|CONTRACT|SIDE|TIME|AMOUNT|PRICE|TURNOVER
BTC|SWAP|15m|2025-07-03_09:00:00|-28768470.47|-49775521.06|431070772.4|1165955247.22
BTC|SWAP|15m|2025-07-03_09:15:00|69269196.23|-60737795.25|245499280.59|1489678620.92
BTC|SWAP|15m|2025-07-03_09:30:00|13984441.9|295270195.56|549360794.25|1881335813.89
BTC|SWAP|15m|2025-07-03_09:45:00|430364462.12|649738997.74|710881016.4|2256831181.19
BTC|SWAP|15m|2025-07-03_10:00:00|-13859545.37|568103895.6|464891534.34|2101965709.86
BTC|SWAP|15m|2025-07-03_10:15:00|24750954.01|454475990.1|479751973.01|2095675970.62
BTC|SWAP|15m|2025-07-03_10:30:00|9164264.03|11407006.57|319498816.68|1963057446.26
BTC|SWAP|15m|2025-07-03_10:45:00|5648626.88|-336255993.31|329347639.35|1972335589.76
BTC|SWAP|15m|2025-07-03_11:00:00|-2846671.95|-132859645.48|354130826.75|1936925123.9
BTC|SWAP|15m|2025-07-03_11:15:00|-11306415.03|-149674169.06|401639756.68|1907544051.25
BTC|SWAP|15m|2025-07-03_11:30:00|-53188071.39|-102750496.64|375345975.56|1920107982.71
BTC|SWAP|15m|2025-07-03_11:45:00|8363416.33|-79692698.8|294020702.05|2102343159.67
BTC|SWAP|15m|2025-07-03_12:00:00|-5086894.38|-82765489.14|302703239.92|2101363115.61
BTC|SWAP|15m|2025-07-03_12:15:00|-2598234.88|-53003025.04|191061000.75|2039974540.22
BTC|SWAP|15m|2025-07-03_12:30:00|31048548.57|53328546.76|257255252.25|2134454281.49
BTC|SWAP|15m|2025-07-03_12:45:00|724918.5|-239250718.26|-5460412.63|1872929409.0
BTC|SWAP|15m|2025-07-03_13:00:00|79116148.44|-105967483.63|246511277.35|1934096589.5
BTC|SWAP|15m|2025-07-03_13:15:00|7040718.15|-32736618.11|219062177.89|1823446479.01
BTC|SWAP|15m|2025-07-03_13:30:00|14217077.52|-94283094.41|-132298037.72|1902641662.81
BTC|SWAP|15m|2025-07-03_13:45:00|-7810669.92|475127628.74|-180071781.63|2207481845.07
BTC|SWAP|15m|2025-07-03_14:00:00|-12926706.9|473013393.7|151420775.45|2220641191.69
BTC|SWAP|15m|2025-07-03_14:15:00|-45695322.54|216242466.83|-19171345.38|1892474012.11
BTC|SWAP|15m|2025-07-03_14:30:00|-138065140.49|153512498.13|9807453.84|1934272720.92
BTC|SWAP|15m|2025-07-03_14:45:00|-13279313.41|-307706237.5|-151522025.82|1836401930.7
BTC|SWAP|15m|2025-07-03_15:00:00|51832541.58|-487105564.84|-202825143.91|1617381654.2
BTC|SWAP|15m|2025-07-03_15:15:00|16018756.26|-311966247.49|-181463423.81|1275862006.21
BTC|SWAP|15m|2025-07-03_15:30:00|31256418.35|-161217631.72|-48659681.24|1466386751.97
BTC|SWAP|15m|2025-07-03_15:45:00|-7854810.94|-100814680.75|-172644007.77|1310672994.83
BTC|SWAP|15m|2025-07-03_16:00:00|-50378524.36|-102504337.3|-222563992.07|873703018.83
BTC|SWAP|15m|2025-07-03_16:15:00|134322515.47|76087554.56|-52372844.21|89914665.24
BTC|SWAP|15m|2025-07-03_16:30:00|9852334.88|-13081644.89|-115069872.89|774569098.83
BTC|SWAP|15m|2025-07-03_16:45:00|54405419.19|208851387.79|275458098.28|828960229.94
BTC|SWAP|15m|2025-07-03_17:00:00|4087576.86|371823920.05|255227411.61|970188192.53
BTC|SWAP|15m|2025-07-03_17:15:00|41848817.13|316823408.03|297187181.93|1074570748.27
BTC|SWAP|15m|2025-07-03_17:30:00|1559019.78|319787659.0|299000880.52|959765218.41
BTC|SWAP|15m|2025-07-03_17:45:00|3966054.88|222596543.51|22927013.05|1275456700.52
BTC|SWAP|15m|2025-07-03_18:00:00|-7117014.14|92379248.2|-125406733.89|1316795489.7
BTC|SWAP|15m|2025-07-03_18:15:00|-49389670.75|-2065124.16|78879590.94|1234627580.47
BTC|SWAP|15m|2025-07-03_18:30:00|21674440.5|32718592.04|178206974.43|1166712990.85
BTC|SWAP|15m|2025-07-03_18:45:00|-18946591.33|-18203497.91|312429752.64|1129329883.24
BTC|SWAP|15m|2025-07-03_19:00:00|9700173.93|-270921.41|361427909.54|1088722841.74
BTC|SWAP|15m|2025-07-03_19:15:00|19013636.31|110464673.63|501310512.06|1264772256.36
BTC|SWAP|15m|2025-07-03_19:30:00|39362456.6|108387676.07|447812282.22|1237553845.86
BTC|SWAP|15m|2025-07-03_19:45:00|-9230693.39|113968324.27|527212757.66|1198025002.71
BTC|SWAP|15m|2025-07-03_20:00:00|-3670868.83|95115897.88|559048144.72|1072508049.76
BTC|SWAP|15m|2025-07-03_20:15:00|-7714047.92|-12255080.87|412967876.63|1121942826.17
BTC|SWAP|15m|2025-07-03_20:30:00|9327831.74|-26216834.85|434677092.26|1166601895.91
BTC|SWAP|15m|2025-07-03_20:45:00|13333897.15|14714534.89|333075904.76|1206547553.41
BTC|SWAP|15m|2025-07-03_21:00:00|8912310.44|31261356.53|218485581.2|1258791198.31
BTC|SWAP|15m|2025-07-03_21:15:00|7152576.2|69461737.03|165606205.63|1260202855.41
BTC|SWAP|15m|2025-07-03_21:30:00|-9210837.29|34769011.21|149658444.47|1220716221.14
BTC|SWAP|15m|2025-07-03_21:45:00|777327.53|12778837.92|123258199.17|1172643376.53
BTC|SWAP|15m|2025-07-03_22:00:00|-22959.51|12376692.66|138483025.66|1082602546.7
BTC|SWAP|15m|2025-07-03_22:15:00|-15307136.3|-36261250.05|131410079.74|1049384294.0
BTC|SWAP|15m|2025-07-03_22:30:00|-2857338.41|-35038197.44|81901654.99|1025173712.67
BTC|SWAP|15m|2025-07-03_22:45:00|-5229390.55|-25626670.24|115835026.84|1021076199.92
BTC|SWAP|15m|2025-07-03_23:00:00|-768772.03|-39856948.45|98896998.62|1054024947.84
BTC|SWAP|15m|2025-07-03_23:15:00|-32500513.95|-42542603.69|-21597197.58|1083570971.92
BTC|SWAP|15m|2025-07-03_23:30:00|-536776.77|-73084662.04|-99570683.12|1147892839.39
BTC|SWAP|15m|2025-07-03_23:45:00|2055870.04|-72267130.62|-70400428.05|1334700748.12
BTC|SWAP|15m|2025-07-04_00:00:00|2899332.76|-54230711.42|-50449610.68|1248454937.02
BTC|SWAP|15m|2025-07-04_00:15:00|-4866108.09|-33602428.47|-42944545.18|1170753460.11
BTC|SWAP|15m|2025-07-04_00:30:00|1595542.89|-35491853.86|-108845702.13|1138150019.41
BTC|SWAP|15m|2025-07-04_00:45:00|20634692.19|-6792516.58|-91907479.52|1049997436.53
